id,recipe_id,recipe_name,source_row_ref,section_name,ingredient_block,instruction_block
195823,293583,Minestrone,1,,"• ½ lb white navy beans

• 1½ Tbsp salt

• 2 quart water","Dissolve 1 1/2 tablespoons salt in 2 quarts cold water in large bowl or container. Add beans and soak at room temperature for at least 8 hours and up to 24 hours. Drain and rinse well.

If you are pressed for time you can “quick-brine” your beans. Combine the salt, water, and beans in a large Dutch oven and bring to a boil over high heat. Remove the pot from the heat, cover, and let stand 1 hour. Drain and rinse the beans and proceed with the recipe."
421404,293583,Minestrone,2,,"•1 tablespoon extra virgin olive oil, plus extra for serving

•3 ounces pancetta or bacon cut into 1/4-inch pieces

•2 medium celery ribs, cut into 1/2-inch pieces (about 3/4 cup)

•1 medium carrot, peeled and cut into 1/2-inch pieces (about 3/4 cup)

•2 small onions, peeled and cut into 1/2-inch pieces (about 1 1/2 cups)

•1 medium zucchini, trimmed and cut into 1/2-inch pieces (about 1 cup)

•2 medium garlic cloves, minced or pressed through garlic press (about 2 teaspoons)

•1/2 small head green cabbage, halved, cored, and cut into 1/2-inch pieces (about 2 cups)

•1/8 – 1/4 teaspoon red pepper flakes","Heat oil and pancetta or bacon in large Dutch oven over medium-high heat. Cook, stirring occasionally, until pancetta is lightly browned and fat has rendered, 3 to 5 minutes. Add celery, carrot, onions, and zucchini; cook, stirring frequently, until vegetables are softened and lightly browned, 5 to 9 minutes. Stir in garlic, cabbage, 1/2 teaspoon salt, and red pepper flakes; continue to cook until cabbage starts to wilt, 1 to 2 minutes longer. Transfer vegetables to rimmed baking sheet and set aside."
433636,293583,Minestrone,3,,"•8 cups water

•2 cups low-sodium chicken broth

•1 piece Parmesan cheese rind, about 5 by 2 inches

•1 bay leaf

•1 1/2 cups V8 juice

Cornmeal or crushed tortilla chips","Add soaked beans, water, broth, Parmesan rind, and bay leaf to now-empty Dutch oven and bring to boil over high heat. Reduce heat and vigorously simmer, stirring occasionally, until beans are fully tender and liquid begins to thicken, 45 to 60 minutes. "
443629,293583,Minestrone,4,,"•1/2 cup chopped fresh basil leaves

•Ground black pepper

•Grated Parmesan cheese, for serving","Add reserved vegetables and V8 juice to pot; cook until vegetables are soft, about 15 minutes. Discard bay leaf and Parmesan rind, stir in chopped basil, and season with salt and pepper. Serve with olive oil and grated Parmesan."
343256,253233,Egg Roll in a Bowl (ERIAB),1,,"1 lb ground beef or pork

1 teaspoon minced garlic

14 ounces shredded cabbage or coleslaw mix

1/4 cup low-sodium soy sauce, or liquid aminos

1 teaspoon ground ginger

2 teaspoons sriracha

1 whole egg

1 tablespoon sesame oil

2 tablespoons sliced green onions","In a large skillet, brown the pork or beef until no longer pink. Add the garlic and sautee for 30 seconds. Add the cabbage/coleslaw, soy sauce, ginger, and sautee until desired tenderness. You can add a little water if you need more liquid to sautee the coleslaw down.

Make a well in the center of the skillet and add the egg. Scramble until done over low heat.

Stir in sriracha. Drizzle with sesame oil and sprinkle with green onions. Add additional soy sauce and sriracha if desired."
137873,270136,Polish Sausage & Cabbage Soup,1,,"2 Tbsp Chicken fat

14 oz. Polish Kielbasa

Half Head green cabbage

Carrots 234g

250g onion

4 cans Chicken broth

3 Tbsp Potato Starch",
152663,400590,Pad Woon Sen,1,Aromatics,"7 oz. chicken leg meat (about 3 drumsticks)

200 grams dried bean thread noodles

3 eggs

1 onion (yellow)

2 cloves garlic (finely chopped, approx. 2 teaspoons)",
275586,400590,Pad Woon Sen,2,Vegetables,"1 cup cabbage (shredded), about 1/4 head

½ cup carrots (shredded), about 1

3 stalks celery (thinly sliced)

1 cup bean sprouts",
311482,400590,Pad Woon Sen,3,Sauce,"3 Tbsp oyster sauce

1 Tbsp fish sauce

1 Tbsp Thai seasoning sauce/maggi sauce (or soy sauce)

1 Tbsp shaoxing wine

2 tsp sugar

3 Tbsp neutral oil (vegetable, canola, avocado)

4 Tbsp water

½ tsp dark soy sauce",
437504,400590,Pad Woon Sen,4,Garnish,"green onions

fried onions

sesame seeds

hot sauce",
